source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-24,40.4375,-3.6875,Europe/Madrid,38.1,24.4,31.5,0.0,0.0,0.0,15.0
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-25,40.4375,-3.6875,Europe/Madrid,30.7,23.4,26.5,0.0,0.0,0.0,16.0
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-26,40.4375,-3.6875,Europe/Madrid,30.9,19.5,25.5,0.0,0.0,0.0,10.0
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-27,40.4375,-3.6875,Europe/Madrid,32.8,21.4,27.3,0.0,0.0,0.0,11.7
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-28,40.4375,-3.6875,Europe/Madrid,32.7,21.2,27.3,0.3,0.0,0.0,11.2
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-29,40.4375,-3.6875,Europe/Madrid,34.9,19.9,27.4,0.0,0.0,0.0,18.1
forecast,2026-06-24T17:37:30+00:00,3117735,Madrid,ES,2026-06-30,40.4375,-3.6875,Europe/Madrid,36.3,22.4,29.2,0.0,0.0,0.0,14.7
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-24,38.75,-9.125,Europe/Lisbon,24.4,19.3,21.4,0.0,0.0,0.0,16.4
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-25,38.75,-9.125,Europe/Lisbon,23.4,18.7,20.6,2.8,0.0,0.0,21.0
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-26,38.75,-9.125,Europe/Lisbon,24.2,19.7,21.5,0.0,0.0,0.0,16.1
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-27,38.75,-9.125,Europe/Lisbon,23.8,18.8,21.3,0.0,0.0,0.0,17.9
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-28,38.75,-9.125,Europe/Lisbon,27.1,19.0,22.5,0.0,0.0,0.0,21.0
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-29,38.75,-9.125,Europe/Lisbon,31.9,19.6,25.0,0.0,0.0,0.0,13.8
forecast,2026-06-24T17:37:30+00:00,2267057,Lisbon,PT,2026-06-30,38.75,-9.125,Europe/Lisbon,27.0,19.2,22.6,0.0,0.0,0.0,22.2
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-24,48.86,2.3399997,Europe/Paris,39.9,25.3,32.9,0.0,0.0,0.0,13.9
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-25,48.86,2.3399997,Europe/Paris,40.6,27.8,34.5,0.0,0.0,0.0,15.5
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-26,48.86,2.3399997,Europe/Paris,37.0,27.4,31.9,0.0,0.0,0.0,16.1
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-27,48.86,2.3399997,Europe/Paris,37.4,22.5,29.0,0.3,0.0,0.0,14.8
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-28,48.86,2.3399997,Europe/Paris,28.7,21.0,24.9,6.6,0.9,0.0,13.7
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-29,48.86,2.3399997,Europe/Paris,25.7,16.8,21.2,0.0,0.0,0.0,12.4
forecast,2026-06-24T17:37:30+00:00,2988507,Paris,FR,2026-06-30,48.86,2.3399997,Europe/Paris,28.4,16.7,22.3,0.0,0.0,0.0,17.0
forecast,2026-06-24T17:37:30+00:00,2950159,Berlin,DE,2026-06-24,52.52,13.419998,Europe/Berlin,32.8,19.0,26.2,0.0,0.0,0.0,11.6
forecast,2026-06-24T17:37:30+00:00,2950159,Berlin,DE,2026-06-25,52.52,13.419998,Europe/Berlin,34.0,23.1,28.6,0.0,0.0,0.0,15.1
